City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Beira,MZ,78.6,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
384,Manta,EC,77.0,light rain,-0.95,-80.7333,Balandra Hotel
386,Yenagoa,NG,78.08,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
389,Port Blair,IN,79.36,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
395,Talara,PE,75.81,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
396,Inirida,CO,79.07,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
399,Bosaso,SO,71.56,scattered clouds,11.2842,49.1816,Red Sea Hotel
400,Bubaque,GW,79.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
411,Tabou,CI,78.46,clear sky,4.423,-7.3528,hotêl doufoulougou
421,Ciudad Bolivar,VE,78.98,few clouds,8.1222,-63.5497,Hotel Edi
430,Dicabisagan,PH,71.85,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
432,Bandarbeyla,SO,74.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
439,Luangwa,ZM,72.37,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
444,Port Moresby,PG,75.2,broken clouds,-9.4431,147.1797,Lamana Hotel
452,Mocuba,MZ,72.93,overcast clouds,-16.8392,36.9856,Phama Lodge
456,Santiago Del Estero,AR,72.14,light rain,-27.7951,-64.2615,Hotel Urbano
471,Ilhabela,BR,77.68,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
472,Meulaboh,ID,76.21,broken clouds,4.1363,96.1285,Kost Pria
475,Linhares,BR,72.75,clear sky,-19.3911,-40.0722,Hotel Conceição
477,Hambantota,LK,75.2,few clouds,6.1241,81.1185,Bungalow 63
481,Port Keats,AU,79.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
485,Pak Phanang,TH,75.2,broken clouds,8.3511,100.202,Green Park Inn Hotel
489,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
501,Pathein,MM,72.19,broken clouds,16.7833,94.7333,Pathein Hotel
503,Yarada,IN,71.6,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
508,Davila,PH,71.6,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
517,Puerto Leguizamo,CO,79.09,broken clouds,-0.1934,-74.7819,la casona de juancho
530,Hualmay,PE,71.38,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
533,Banda Aceh,ID,77.49,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
539,Kochi,IN,77.0,mist,9.9399,76.2602,Trident Hotel Cochin
540,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
542,Capitao Poco,BR,73.38,light rain,-1.7464,-47.0594,Hotel New Tokyo
546,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
548,Cockburn Town,TC,73.4,few clouds,21.4612,-71.1419,Osprey Beach Hotel
569,Pemangkat,ID,78.78,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
571,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
574,Santarem,BR,77.0,light rain,-2.4431,-54.7083,Hotel Imperador
589,Cerro Largo,BR,74.61,heavy intensity rain,-28.1486,-54.7381,Hotel Missões
590,Grand-Lahou,CI,79.25,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
593,Muisne,EC,77.59,few clouds,0.6,-80.0333,Quinta Samay
595,Odienne,CI,72.95,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
596,Morondava,MG,79.74,clear sky,-20.2833,44.2833,La Case Bambou
605,Baracoa,CU,71.44,broken clouds,20.3467,-74.4958,Hostal Rio Miel
606,Formosa,AR,75.2,broken clouds,-26.1775,-58.1781,Asterión Hotel
609,Cururupu,BR,76.89,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
636,Olinda,BR,78.8,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
638,Mayumba,GA,76.48,overcast clouds,-3.432,10.6554,LIKWALE LODGE
639,Arenapolis,BR,75.13,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
643,Huarmey,PE,71.46,broken clouds,-10.0681,-78.1522,Hotel Miramar
650,Berbera,SO,72.57,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
651,Sao Gabriel Da Cachoeira,BR,78.51,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
652,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
655,Alta Floresta,BR,72.64,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
656,Wukari,NG,73.2,clear sky,7.85,9.7833,Elimtop
657,Lethem,GY,79.88,scattered clouds,3.3803,-59.7968,Savannah Inn
660,Vila Do Maio,CV,71.6,clear sky,15.1333,-23.2167,Residence 'I Delfini'
661,Kuching,MY,75.2,moderate rain,1.55,110.3333,Hilton Kuching
662,Axim,GH,78.93,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
674,Grajau,BR,72.88,overcast clouds,-5.8194,-46.1386,Hotel Confiança
678,Port-Gentil,GA,77.68,overcast clouds,-0.7193,8.7815,Fengshui Residence
680,Bolitoc,PH,74.62,overcast clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
681,Bartica,GY,77.0,broken clouds,6.4,-58.6167,Relax Inn Hotel
