City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chernyshevskiy,RU,2021-01-27 21:52:30,63.0128,112.4714,-46.34,80,45,1.16
68,Hobart,AU,2021-01-27 21:52:30,-42.8794,147.3294,57.0,50,75,8.05
69,Esperance,AU,2021-01-27 21:52:30,-33.8667,121.9,60.8,94,90,8.05
70,Ventspils,LV,2021-01-27 21:52:31,57.3894,21.5606,32.0,86,90,6.91
71,Puerto Ayora,EC,2021-01-27 21:52:31,-0.7393,-90.3518,86.0,62,20,20.71
72,Lingao,CN,2021-01-27 21:52:31,19.9103,109.6859,64.13,94,1,10.45
73,Seddon,AU,2021-01-27 21:52:31,-37.8068,144.8916,71.01,72,91,3.44
74,Lompoc,US,2021-01-27 21:52:07,34.6391,-120.4579,53.6,87,90,20.71
75,Bambous Virieux,MU,2021-01-27 21:52:32,-20.3428,57.7575,78.01,88,20,8.05
76,Verkhoyansk,RU,2021-01-27 21:52:32,67.5447,133.385,-49.09,73,65,0.92
77,Alyangula,AU,2021-01-27 21:52:32,-13.8483,136.4192,80.6,89,90,5.75
78,Akkermanovka,RU,2021-01-27 21:52:32,51.2467,58.2391,3.2,78,40,11.18
79,Biak,ID,2021-01-27 21:52:32,-0.9131,122.8766,77.09,75,97,4.97
80,Syumsi,RU,2021-01-27 21:52:35,57.1111,51.6149,21.36,96,100,11.07
81,Sakakah,SA,2021-01-27 21:52:35,29.9697,40.2064,62.6,36,0,8.05
82,Port Elizabeth,ZA,2021-01-27 21:52:35,-33.918,25.5701,66.2,72,90,8.05
83,Ribeira Do Pombal,BR,2021-01-27 21:52:35,-10.8344,-38.5358,77.25,64,98,10.54
84,Yerbogachen,RU,2021-01-27 21:52:36,61.2767,108.0108,-40.2,80,83,5.66
85,Leh,IN,2021-01-27 21:52:36,34.1667,77.5833,0.0,58,0,1.61
86,Salinopolis,BR,2021-01-27 21:52:36,-0.6136,-47.3561,79.68,82,69,7.7
87,Carnarvon,AU,2021-01-27 21:52:36,-24.8667,113.6333,71.6,78,0,17.27
88,Kaitangata,NZ,2021-01-27 21:52:37,-46.2817,169.8464,53.01,76,72,7.0
89,Isangel,VU,2021-01-27 21:52:37,-19.55,169.2667,83.07,76,98,16.69
90,Tasiilaq,GL,2021-01-27 21:52:37,65.6145,-37.6368,21.2,45,75,25.32
91,Provideniya,RU,2021-01-27 21:52:37,64.3833,-173.3,8.6,92,90,24.61
92,Nemuro,JP,2021-01-27 21:52:37,43.3236,145.575,21.72,88,0,12.37
93,Cefalu,IT,2021-01-27 21:52:38,38.0386,14.0229,51.01,64,100,4.0
94,Leningradskiy,RU,2021-01-27 21:52:38,69.3833,178.4167,-16.65,87,100,3.91
95,Lebu,CL,2021-01-27 21:52:38,-37.6167,-73.65,60.71,73,97,10.67
