City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Iskateley,RU,67.6803,53.1512,0.05,92,98,11.18,overcast clouds
80,Cidreira,BR,-30.1811,-50.2056,75.78,88,98,9.33,overcast clouds
81,Husavik,IS,66.0449,-17.3389,14.0,85,90,4.61,overcast clouds
82,Belmonte,BR,-15.8631,-38.8828,78.8,73,40,10.36,scattered clouds
83,New Norfolk,AU,-42.7826,147.0587,75.99,25,6,5.01,clear sky
84,Serenje,ZM,-13.2325,30.2352,61.39,94,100,1.68,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,-9.45,85,77,6.51,broken clouds
86,Bagdarin,RU,54.4333,113.6,-28.5,76,0,2.42,clear sky
87,Lindas,NO,60.7381,5.16,30.99,95,92,1.99,light snow
88,Kijang,KR,35.2442,129.2139,33.8,69,0,3.44,clear sky
89,Avarua,CK,-21.2078,-159.775,82.4,74,75,6.91,broken clouds
90,Tuy Hoa,VN,13.0833,109.3,71.4,88,100,5.88,overcast clouds
91,Kapaa,US,22.0752,-159.319,78.8,65,75,14.97,light rain
92,Acajutla,SV,13.5928,-89.8275,80.6,54,20,4.9,few clouds
93,Esperance,AU,-33.8667,121.9,68.0,64,0,13.8,clear sky
94,Omboue,GA,-1.5746,9.2618,75.0,90,100,3.53,light rain
95,Ayan,RU,56.45,138.1667,-6.54,82,100,7.34,overcast clouds
96,Faanui,PF,-16.4833,-151.75,81.75,70,31,8.03,scattered clouds
97,Norman Wells,CA,65.282,-126.8329,-27.4,68,40,3.44,scattered clouds
98,Cape Town,ZA,-33.9258,18.4232,71.01,77,75,5.75,broken clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,62.01,63,75,18.41,broken clouds
100,Hobyo,SO,5.3505,48.5268,74.84,78,55,14.52,broken clouds
101,Airai,TL,-8.9266,125.4092,62.82,100,100,5.79,light rain
102,Fort Nelson,CA,58.8053,-122.7002,-5.8,65,75,1.95,broken clouds
103,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,8.05,clear sky
104,Taoudenni,ML,22.6783,-3.9836,66.4,25,5,7.52,clear sky
105,Burdur,TR,37.7203,30.2908,33.8,100,75,5.75,broken clouds
106,Naze,JP,28.3667,129.4833,60.8,55,40,9.22,scattered clouds
107,Glendive,US,47.1053,-104.7125,28.4,74,1,3.44,clear sky
108,Te Anau,NZ,-45.4167,167.7167,65.53,47,29,6.89,scattered clouds
109,Souillac,MU,-20.5167,57.5167,78.8,83,40,8.05,scattered clouds
110,Hobart,AU,-42.8794,147.3294,75.99,40,40,10.36,scattered clouds
111,Georgetown,MY,5.4112,100.3354,78.8,83,20,6.78,few clouds
112,Severo-Yeniseyskiy,RU,60.3725,93.0408,-38.34,81,0,1.72,clear sky
113,Brae,GB,60.3964,-1.353,33.8,93,75,1.14,broken clouds
114,Hammerfest,NO,70.6634,23.6821,26.6,80,40,13.8,scattered clouds
115,Ippy,CF,6.2679,21.2247,71.91,28,89,5.26,overcast clouds
116,Yatou,CN,37.15,122.3833,43.34,80,100,12.77,overcast clouds
117,Adrar,MR,20.5022,-10.0711,65.05,25,20,7.52,few clouds
118,Sitka,US,57.0531,-135.33,41.0,52,75,4.61,broken clouds
119,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,8.05,scattered clouds
120,Mahebourg,MU,-20.4081,57.7,78.8,83,40,8.05,scattered clouds
121,Saldanha,ZA,-33.0117,17.9442,63.68,93,0,1.54,clear sky
